id,name,Result
2505,Keith Haring,✅ Found to fetch entity
109,street art,is added movements table
109,street art,is found in movements table
109,2505,is added in human_movement table
109,2505,is found in human_movement table
48,contemporary art,is found in movements table
48,2505,is added in human_movement table
48,2505,is found in human_movement table
3821,André Masson,✅ Found to fetch entity
3,Surrealism,is found in movements table
3,3821,is added in human_movement table
3,3821,is found in human_movement table
4095,Berthe Morisot,✅ Found to fetch entity
13,Impressionism,is found in movements table
13,4095,is added in human_movement table
13,4095,is found in human_movement table
5623,Edward Steichen,✅ Found to fetch entity
110,pictorialism,is added movements table
110,pictorialism,is found in movements table
110,5623,is added in human_movement table
110,5623,is found in human_movement table
434,Max Beerbohm,✅ Found to fetch entity
559,Max Bill,✅ Found to fetch entity
111,geometric abstraction,is added movements table
111,geometric abstraction,is found in movements table
111,559,is added in human_movement table
111,559,is found in human_movement table
64,abstract art,is found in movements table
64,559,is added in human_movement table
64,559,is found in human_movement table
112,Art Concret,is added movements table
112,Art Concret,is found in movements table
112,559,is added in human_movement table
112,559,is found in human_movement table
708,Émile-Antoine Bourdelle,✅ Found to fetch entity
1114,Christo,✅ Found to fetch entity
113,land art,is added movements table
113,land art,is found in movements table
113,1114,is added in human_movement table
113,1114,is found in human_movement table
3086,Anselm Kiefer,✅ Found to fetch entity
96,neo-expressionism,is found in movements table
96,3086,is added in human_movement table
96,3086,is found in human_movement table
3213,Willem de Kooning,✅ Found to fetch entity
87,abstract expressionism,is found in movements table
87,3213,is added in human_movement table
87,3213,is found in human_movement table
88,action painting,is found in movements table
88,3213,is added in human_movement table
88,3213,is found in human_movement table
3528,Sol LeWitt,✅ Found to fetch entity
23,conceptual art,is found in movements table
23,3528,is added in human_movement table
23,3528,is found in human_movement table
104,Minimalism,is found in movements table
104,3528,is added in human_movement table
104,3528,is found in human_movement table
6584,Anders Zorn,✅ Found to fetch entity
13,Impressionism,is found in movements table
13,6584,is added in human_movement table
13,6584,is found in human_movement table
203,Karel Appel,✅ Found to fetch entity
114,COBRA,is added movements table
114,COBRA,is found in movements table
114,203,is added in human_movement table
114,203,is found in human_movement table
87,abstract expressionism,is found in movements table
87,203,is added in human_movement table
87,203,is found in human_movement table
932,Julia Margaret Cameron,✅ Found to fetch entity
110,pictorialism,is found in movements table
110,932,is added in human_movement table
110,932,is found in human_movement table
5538,Pierre Soulages,✅ Found to fetch entity
60,Informalism,is found in movements table
60,5538,is added in human_movement table
60,5538,is found in human_movement table
64,abstract art,is found in movements table
64,5538,is added in human_movement table
64,5538,is found in human_movement table
80,School of Paris,is found in movements table
80,5538,is added in human_movement table
80,5538,is found in human_movement table
8200,David Byrne,✅ Found to fetch entity
66197,Peter Greenaway,✅ Found to fetch entity
452,Hans Bellmer,✅ Found to fetch entity
3,Surrealism,is found in movements table
3,452,is added in human_movement table
3,452,is found in human_movement table
693,Fernando Botero,✅ Found to fetch entity
48,contemporary art,is found in movements table
48,693,is added in human_movement table
48,693,is found in human_movement table
3302,František Kupka,✅ Found to fetch entity
99,Orphism,is found in movements table
99,3302,is added in human_movement table
99,3302,is found in human_movement table
11,Symbolism,is found in movements table
11,3302,is added in human_movement table
11,3302,is found in human_movement table
64,abstract art,is found in movements table
64,3302,is added in human_movement table
64,3302,is found in human_movement table
6068,Henry Clemens van de Velde,✅ Found to fetch entity
41,Art Nouveau,is found in movements table
41,6068,is added in human_movement table
41,6068,is found in human_movement table
6,modernism,is found in movements table
6,6068,is added in human_movement table
6,6068,is found in human_movement table
3772,Marino Marini,✅ Found to fetch entity
10,modern art,is found in movements table
10,3772,is added in human_movement table
10,3772,is found in human_movement table
6177,Maurice de Vlaminck,✅ Found to fetch entity
2,Fauvism,is found in movements table
2,6177,is added in human_movement table
2,6177,is found in human_movement table
1,Cubism,is found in movements table
1,6177,is added in human_movement table
1,6177,is found in human_movement table
8443,Merce Cunningham,✅ Found to fetch entity
32231,Carl Theodor Dreyer,✅ Found to fetch entity
1800,Henri Fantin-Latour,✅ Found to fetch entity
39,Realism,is found in movements table
39,1800,is added in human_movement table
39,1800,is found in human_movement table
11,Symbolism,is found in movements table
11,1800,is added in human_movement table
11,1800,is found in human_movement table
13,Impressionism,is found in movements table
13,1800,is added in human_movement table
13,1800,is found in human_movement table
2423,Renato Guttuso,✅ Found to fetch entity
7,Expressionism,is found in movements table
7,2423,is added in human_movement table
7,2423,is found in human_movement table
4397,Claes Oldenburg,✅ Found to fetch entity
8,pop art,is found in movements table
8,4397,is added in human_movement table
8,4397,is found in human_movement table
5664,Alfred Stieglitz,✅ Found to fetch entity
115,Photo-Secession,is added movements table
115,Photo-Secession,is found in movements table
115,5664,is added in human_movement table
115,5664,is found in human_movement table
